wind speed (m/s),power(kW)
0,0
0.5,0
1,0
1.5,0
2,75
2.5,120
3,165
3.5,230
4,300
4.5,450
5,600
5.5,760
6,967
6.5,1250
7,1533
7.5,1870
8,2200
8.5,2620
9,3018
9.5,3450
10,3774
10.5,4080
11,4314
11.5,4430
12,4490
12.5,4500
13,4500
13.5,4500
14,4500
14.5,4500
15,4500
15.5,4500
16,4500
16.5,4500
17,4500
17.5,4500
18,4500
18.5,4403
19,4306
19.5,4210
20,4113
20.5,4016
21,3919
21.5,3823
22,3725
22.5,3629
23,3532
23.5,3435
24,3339
24.5,3242
25,3145
25.5,3048
26,2950
26.5,2855
27,2758
27.5,0
28,0
28.5,0
29,0
29.5,0
30,0
30.5,0
31,0
31.5,0
32,0
32.5,0
33,0
33.5,0
34,0
34.5,0
35,0
